,location_name,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
13,Alabama,0.00909766203069567,0.0065045158320854194,0.0049720211720066755,0.009413080620888244,0.008891829993164072,0.005310387231664317,0.0062418641658375205
45,Alaska,0.006980957711160304,0.00501478600791009,0.0039030271331694354,0.00689282709415839,0.00712221046807932,0.00467798250710303,0.004008273261289948
28,Arizona,0.0058400459668340775,0.00389457578995037,0.0027160804431584098,0.005703602353157135,0.005742785418810629,0.004459938490902807,0.0034508507966289938
19,Arkansas,0.00904634989772016,0.0069031778853476215,0.005219744235194349,0.008756717111258723,0.009050826913852292,0.0056069259253253645,0.005708391734372451
3,California,0.003556884347525963,0.0021509856242006554,0.0029972242412184716,0.003702125267897623,0.0025801464801490826,0.004430274552834856,0.0023358671577075898
17,Colorado,0.007119358479557635,0.005331964953531834,0.003833462258857534,0.0070537161054152085,0.006886500976114363,0.005843241189021124,0.004097237730439376
2,Connecticut,0.007312503018546024,0.005000219943662941,0.0036518322387553578,0.007409067760530334,0.007260969804130292,0.004490367559560805,0.003926879236301999
14,Delaware,0.005786403746025323,0.0039930341205641285,0.0026613812186230923,0.005537406995229679,0.005909899305861471,0.004414669365584108,0.003346335319879649
37,Florida,0.008296432953097883,0.006473960857513982,0.005347163794370385,0.007935518666383956,0.008605888460775278,0.0051043464433726815,0.005613103074345119
4,Georgia,0.007878838559578326,0.005919313176440556,0.0049809200869474005,0.007707933264966564,0.008268675526459554,0.004564443322368658,0.005608835789717662
43,Hawaii,0.006905707729847456,0.004838984070229073,0.00408055478848832,0.007010575963509409,0.007009719260169598,0.004210724454286123,0.003711964618542306
32,Idaho,0.009121719542528587,0.007139782174211423,0.006409725173634913,0.008938776823407376,0.009270358333558586,0.005967181546579418,0.006773324813528677
46,Illinois,0.007738905020298685,0.005586802220475976,0.004089487918186905,0.007699920574204717,0.008137420590948788,0.004470690490899033,0.004416947307672118
34,Indiana,0.008509640981113254,0.006168468776159005,0.0057674110470308125,0.008565489674263998,0.008335325802462852,0.005443635864210249,0.005265258956699054
29,Iowa,0.007797798633902518,0.005660805993563012,0.004117736937037251,0.007445210624563214,0.008587492547517908,0.003976961307804495,0.0044090856894192
31,Kansas,0.008514707371611868,0.006351987592185157,0.005748351622713377,0.00831819481860357,0.00874764755049136,0.004769779329646794,0.0058790166577866705
23,Kentucky,0.008420382112739662,0.006388163189201089,0.005214757404896676,0.008461422580435569,0.008567730324595822,0.005647808072485524,0.005833592584524153
10,Louisiana,0.006940747651460166,0.0050462420414897164,0.005282081581661385,0.006787669127346982,0.00688191153861148,0.005346470933920454,0.005166276685682347
39,Maine,0.008144776229302264,0.006099882196968074,0.003921459652346132,0.00733448859898326,0.008838090413916094,0.003894408082325776,0.005789284140238493
7,Maryland,0.0065746095219595575,0.004615671107350045,0.0038479161935801704,0.0063985365102909655,0.006805570316504785,0.004557574247839781,0.003881658060616652
41,Massachusetts,0.0075119796233380125,0.005294656415756766,0.004878566680686615,0.007314607044352956,0.007440043673271917,0.004633904578871456,0.0049484254047738605
16,Michigan,0.008038580709785935,0.005861142557170506,0.004078164288018097,0.00802640539221358,0.008090309770963998,0.005334449775018781,0.004744828331918157
18,Minnesota,0.007851479158026723,0.0059649650005321915,0.0046933203388349175,0.007383937310120823,0.008127326233649017,0.004992013057822349,0.004817042005898177
48,Mississippi,0.0069015670108558405,0.0047251589812169386,0.0049604072907654196,0.007037832524557243,0.006467161918208297,0.004817021108778754,0.00421103595767601
1,Missouri,0.00933309325946361,0.007130112051156617,0.00615415867855322,0.009334275473055296,0.009342417587374618,0.005529318383932356,0.007523631282173534
26,Montana,0.0076596845377181165,0.005709217970868552,0.003983281290863594,0.007386067421792525,0.0079987521195403,0.004145945894159146,0.00523984842387964
22,Nebraska,0.008203263271498147,0.006105067826115025,0.004378044559027293,0.00812686157007023,0.008293269567646954,0.004546326857504732,0.00543757300310029
11,Nevada,0.008044044049413678,0.005860484004683494,0.00441236723072141,0.008009864007104137,0.007749842521322421,0.00529741922831029,0.0044373527968580365
36,NewHampshire,0.007746273057633856,0.00552476784455828,0.0050006820875194485,0.007709151472815192,0.007238777443645607,0.004716667136324367,0.0052686093874830565
20,NewJersey,0.0073309484414800655,0.005406695893379208,0.0035390888239458535,0.006832925897758692,0.007707093732487207,0.004880762565946645,0.00466324873310286
24,NewMexico,0.007280391732707584,0.005369072215621516,0.0050317085198045486,0.00738088538634354,0.007196965163582776,0.0047306805830737535,0.004040724976442921
47,NewYork,0.007892998789238475,0.005822404550795886,0.0043733973008992,0.007965895914539747,0.007799213135403255,0.005291046838276942,0.0047195778762830895
38,NorthCarolina,0.007006839683444762,0.004979176569217393,0.0046869544918002985,0.006947233446514692,0.007226811358912474,0.005045048707118913,0.004462697442190495
21,NorthDakota,0.007192540677590531,0.0052535526834040095,0.0038325349412750187,0.007035234074718551,0.007387859675816701,0.004668210896727161,0.004741072284423576
25,Ohio,0.008326106561893337,0.0060322998926052585,0.005901626927241206,0.008554147307688909,0.007799745516253008,0.005302904468062647,0.005289188497127495
