,location_name,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
36,NewHampshire,0.24996161252908888,0.14983313079014815,0.1267888635115258,0.21819995527360045,0.2002895820097969,0.1478458896336443,0.14378836653863886
20,NewJersey,0.20337726343275211,0.12372459791215835,0.08907648122450518,0.1534419891837182,0.1593326141545947,0.1666853903148916,0.13760899135419416
24,NewMexico,0.21654191543787996,0.12129857521364257,0.1354447646336845,0.19551036655931864,0.1541923354495807,0.14735449154517818,0.09866071983904612
47,NewYork,0.25627864814489604,0.14474376443388146,0.1283868563721688,0.23815194701635123,0.18255330386974872,0.1728469567550419,0.09461217914979833
38,NorthCarolina,0.2069556364302564,0.10763654135271794,0.12354746231589744,0.18676541069989744,0.13914914715230767,0.15267823527794872,0.09276039997097436
21,NorthDakota,0.18680485013577458,0.10148568065729355,0.08743270068372513,0.15711569759116936,0.12437805982233273,0.14673016048698012,0.11334136531793249
25,Ohio,0.26232095554249707,0.15576569906342325,0.12953086913883355,0.23440997274440212,0.1935493407697538,0.17242171159202813,0.12737639208194607
30,Oklahoma,0.29775110648503195,0.16863123420541543,0.20644000963033976,0.28366871936982846,0.19806981841759164,0.19018848724083415,0.11203738464110327
33,Oregon,0.17399867936514127,0.08459626511981935,0.09468831998592682,0.1578073927959472,0.10190805531507642,0.13341229133483093,0.09065834306468273
49,Pennsylvania,0.3043542522072175,0.1828513147111681,0.15163946976733142,0.2817693385052232,0.2333413451688889,0.17142042232279203,0.11294703923650522
50,RhodeIsland,0.2058872577376756,0.11131022387555554,0.105689501032917,0.1775911840437548,0.14638551643156578,0.16300052375363985,0.11784621125420179
44,SouthCarolina,0.2109918119672498,0.10342878810002033,0.12397401161067942,0.199358507212083,0.12303259150174939,0.16344390734796582,0.09383316413336046
12,SouthDakota,0.37771243707520374,0.25272979339867563,0.21818446487090468,0.34817417025776287,0.2981481875117563,0.2291026272311532,0.1735840574250815
8,Tennessee,0.34096918559879225,0.21784587568463862,0.21590460643885642,0.30362436628750705,0.25869599670222687,0.20087144666059636,0.18959395890535952
5,Texas,0.2541883755362159,0.14988472639085793,0.16893604994118702,0.2212442249367392,0.181064978424222,0.16024945332871107,0.12527611538976866
35,Utah,0.30292611270245423,0.16647524327712268,0.20981588890012415,0.2786667320687729,0.21709037488084626,0.15959285556234132,0.13866167121692527
27,Vermont,0.17400047680721725,0.09129908928654279,0.08568649712423722,0.15355406451136958,0.12474130001076851,0.13503578559181006,0.09510122111759577
6,Virginia,0.21592193298362783,0.12771388202482672,0.1145166566376366,0.18399419514159226,0.16917692334552295,0.14160451581342492,0.11435861772844208
40,Washington,0.14823733928939853,0.05901808507110684,0.06330019317275475,0.13669912261763253,0.0810908064945894,0.1405060968599286,0.043078902385553425
42,WashingtonDC,0.24807485812468244,0.14081040929273922,0.11973690665484758,0.22398438296494494,0.18575103429629553,0.14893453688378494,0.11424912866522013
15,WestVirginia,0.20042736159717084,0.10960840741337916,0.10651876053106824,0.18278712721401377,0.14482848336848228,0.13962964860259122,0.10124589818699102
9,Wisconsin,0.2710102285799422,0.1533385709643555,0.17752358101970697,0.24929463303305816,0.21180121062930252,0.15374264464953918,0.16488464293146238
0,Wyoming,0.2212446114513746,0.11570982238982355,0.1115290098040829,0.20638614992741078,0.15598497050038984,0.13298914757714403,0.09885965663430447
