,location_name,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
13,Alabama,0.2861039989903578,0.1578049995507414,0.14623236961657435,0.27895851381937553,0.2007123351323447,0.15972045816968647,0.13090896719723666
45,Alaska,0.1614569425517274,0.08189888437634374,0.08993802904575515,0.14086462107815345,0.10978796776955049,0.12250507712405594,0.06921704120049946
28,Arizona,0.15314267580715835,0.0760028359637861,0.0820257649254189,0.12493617689459072,0.10629739303567254,0.13160936160303044,0.09119549108413903
19,Arkansas,0.2811875030162655,0.16292703972633268,0.14977850490792613,0.2561484771418148,0.2033784747151179,0.16019482576200267,0.12201758026356131
3,California,0.10601186956496009,0.04396033932317622,0.0700252576444924,0.0879113373998334,0.05063598565501825,0.11200072542712032,0.0491380313108029
17,Colorado,0.18714740484001752,0.10124336754843544,0.09963380657758013,0.16405333366048164,0.1281803757391378,0.1610396384526077,0.08869413241144297
2,Connecticut,0.16338361382228897,0.07655946226075282,0.07903533195703352,0.1527702411695683,0.10246010961724374,0.11626620596328843,0.0662158969445526
14,Delaware,0.14597111109464406,0.07585441806963653,0.0739151236480259,0.1197456383686067,0.10247819950953434,0.12879247284748319,0.07905783804264664
37,Florida,0.26032747512730536,0.1543638281387467,0.15147543133751085,0.23449641465195067,0.19902462338100976,0.15142176833839388,0.13470587253281263
4,Georgia,0.2298078581146144,0.1279142581314646,0.13548218395382308,0.20942971289485934,0.17220115510368667,0.14620074898794921,0.11365843815692563
43,Hawaii,0.17506433217608844,0.08903626576942841,0.10111454448760804,0.16043923004933042,0.11569713640111957,0.1142218103421519,0.07138802996620384
32,Idaho,0.30575752930172073,0.17859294802110304,0.19952437746751264,0.2936481808617045,0.2118652752576451,0.18041849777144114,0.1340383793905993
46,Illinois,0.18977186174561664,0.09952849780441347,0.10258306001690323,0.1718395657265435,0.13942368059314292,0.13162700294982116,0.09047338973184353
34,Indiana,0.25821794198888476,0.14779606906572162,0.15659281199271402,0.2251226447847597,0.18013557840054203,0.17829742662091863,0.1226679828602243
29,Iowa,0.22006329633494945,0.12267612622455251,0.12235984706239067,0.19288994342071292,0.17112208793669353,0.12721098485826007,0.1019364216377334
31,Kansas,0.25225059012853535,0.14184964544701467,0.15283579998231855,0.23024785893739758,0.18840805774779626,0.1388010441710361,0.11481743396668342
23,Kentucky,0.2729608009996782,0.15772082324499467,0.15602035305640827,0.254273287440026,0.2073585462705478,0.16473629744972199,0.13087917436347468
10,Louisiana,0.18854623213289975,0.09748392177185257,0.11936562093340679,0.16920424469684187,0.13641389293479597,0.13135062445185305,0.09116046870626301
39,Maine,0.2111566880347559,0.11667006741763887,0.10592953923408244,0.1824241528207929,0.1642340035013777,0.1219573594121496,0.10317743947800188
7,Maryland,0.16406741688052523,0.08245229034924774,0.09315711481825732,0.13852740891488063,0.11723686705217568,0.12961782831457347,0.07933344057401295
41,Massachusetts,0.20492218277155824,0.10038157089869906,0.11003475695045954,0.17958416991349027,0.14261662849523496,0.13646085009859366,0.09198072688795288
16,Michigan,0.21953984506110907,0.11992542891423734,0.11371818944090704,0.1956731247181307,0.15110758315779002,0.15355087899118922,0.10128615091615842
18,Minnesota,0.18035164065597217,0.09650409829097412,0.1031052054854671,0.1533896836928196,0.12434380825743613,0.13940696886948714,0.09480090236744441
48,Mississippi,0.18890169099522852,0.09244562524565623,0.11684603942641696,0.17083758015194772,0.1193524585317491,0.14130078634632598,0.07925804424742548
1,Missouri,0.2866611369006273,0.1548732913481609,0.1676987474302253,0.2731857282559166,0.1849861035822033,0.1493365235713842,0.14919967103840492
26,Montana,0.2027420283166656,0.1127981348017266,0.10742441697386985,0.18343565102550569,0.14696317671201342,0.13187282408633674,0.10127244349188555
22,Nebraska,0.24139294926984287,0.13342308991783025,0.12235607649101071,0.22305250119405567,0.17619553919603193,0.14184107736869395,0.12079590831736159
