,location_name,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
0,Alabama,0.26996224815242853,0.14315812237450318,0.14180905661490054,0.2640081587556292,0.17968302228145697,0.15405352229304625,0.11544325449017663
1,Alaska,0.17426069758707338,0.09172325396003117,0.09574691319517065,0.15355397049389852,0.12014167879233711,0.13337258989441578,0.07844296405418821
2,Arizona,0.14648948777689844,0.0720022165950802,0.0765528777171123,0.12032802746074842,0.10036086776609628,0.12769544252941176,0.08204457359144386
3,Arkansas,0.2530110997372264,0.14571168137789373,0.14162596574744538,0.2271375183201253,0.18104944824431676,0.16298870568091758,0.11896851869499481
4,Colorado,0.17800404422091018,0.09540447937865656,0.09587901122134343,0.15194297212394364,0.11941800709696643,0.1581242784612135,0.08713963429577465
5,Connecticut,0.18429456924238435,0.09138159419922529,0.0857889813184809,0.16743916897826955,0.12343544858169009,0.1269161667271832,0.07291632006448691
6,Delaware,0.13991059994577668,0.07078556365224183,0.07254490740834206,0.11470067540928058,0.09782174796183543,0.12423200439874878,0.07745834918602718
7,Florida,0.22756488736373492,0.13003543829772002,0.14094282353550483,0.202238129757329,0.16508157506091195,0.15016393054397403,0.11584718994104229
8,Georgia,0.22179245629802719,0.12199097989802687,0.12972356097117343,0.20001736033987516,0.16269638339055031,0.14228259533997922,0.11079617418909643
9,Hawaii,0.17684696575622375,0.08704728643775932,0.10117604307755194,0.16351240270726158,0.11545247051887961,0.11295225910684652,0.07050047910705394
10,Idaho,0.28222128755530734,0.1614104813271508,0.17856882973742985,0.2624999491167597,0.1953864231088266,0.18110104339217886,0.13420322684636865
11,Illinois,0.19627491782216225,0.10224500957848641,0.10428142737286479,0.17979610933167584,0.14096387041167577,0.12515175487459468,0.0821005790885406
12,Indiana,0.27165514491299464,0.14794568816020495,0.16647424955138468,0.2507977542213741,0.18017889267825657,0.16748055747569254,0.1137452967738461
13,Iowa,0.20590248052834018,0.10996136465526311,0.10740094159159908,0.18389129609190286,0.15783260130212556,0.12269094002833991,0.09171468889595123
14,Kansas,0.23014372404979247,0.12821546847313287,0.14164737718060164,0.20753002725155592,0.16770163213796666,0.14070199082946042,0.10862406548869295
15,Kentucky,0.2496071555851173,0.14047811355025483,0.14205162036187566,0.2295213538211009,0.17925500570183503,0.167447501675841,0.12078377934291543
16,Louisiana,0.19685065613457525,0.10467629573198764,0.12883987007277417,0.1726649457660456,0.13457622865238078,0.14995418966583854,0.10421403387857155
17,Maine,0.21450081978477853,0.11836774491844747,0.10471058641320552,0.18434905303427415,0.1674435878460688,0.11818882569012104,0.11209803002852815
18,Maryland,0.17685993499225194,0.08980142194752065,0.10166894758316108,0.15261693753192143,0.12497817030175608,0.13584216193388438,0.0806660404217975
19,Massachusetts,0.1980438348928573,0.10319499143795918,0.11080733106040822,0.1727266603342855,0.1367187894335715,0.13659574946326525,0.09696361185459192
20,Michigan,0.22311709193302295,0.11605795283498965,0.11285259600558996,0.20910715449575598,0.14727220379213246,0.14712058826915114,0.0882924513154243
21,Minnesota,0.21141924093183218,0.11873896222384857,0.12174438869733879,0.182792438772569,0.1567478235321392,0.15099186426970324,0.1029557869488227
22,Mississippi,0.1939972056283232,0.09588693148369122,0.11824018006676894,0.17385406455797553,0.11809941196932522,0.14544198133854797,0.08320027841165639
23,Missouri,0.2859021940818872,0.1586191438198481,0.1756078935667026,0.26577483187331924,0.19357951520281982,0.15356784515075908,0.14901803368080266
24,Montana,0.1842880033882225,0.1009867569612868,0.09755321899312977,0.15894251914514732,0.1369413335145038,0.12774634584133046,0.1031817408846238
25,Nebraska,0.2259968157885656,0.12115869485690234,0.11680729191632018,0.20792488721943858,0.15768973269963626,0.1399983534586903,0.1081331070060292
26,Nevada,0.22064979140916557,0.11777161542378975,0.11766510958989697,0.19885090973501543,0.145682035337899,0.15304448509608629,0.09487052268681781
27,NewHampshire,0.21456190380124862,0.11315010149084287,0.12568789930020802,0.1940258004188344,0.13851578162570227,0.1430031578844953,0.10551813026035375
28,NewJersey,0.1906988599684266,0.10354297802446694,0.09477281939416259,0.1601825728874111,0.1384653537530965,0.15163849234121826,0.09722381847644687
29,NewMexico,0.19092849105939438,0.10235430105288654,0.12618514045676196,0.17085224668183768,0.12999156539308088,0.13902008465513524,0.08733069362702707
30,NewYork,0.22286772650560663,0.11698117823853223,0.11980254806656482,0.20748493160958195,0.1439227915928645,0.1579564676442405,0.08897047354281355
31,NorthCarolina,0.20695563626358962,0.10763654101148716,0.12354746305753839,0.18676541188235907,0.13914914805066672,0.15267823474871794,0.09276040039733353
32,NorthDakota,0.1867200625162475,0.09731574462809206,0.09996135901624735,0.16684621279507356,0.12998202222347996,0.1345581635656185,0.08926789865744231
33,Ohio,0.23649174658409788,0.1265283346538225,0.145917106139959,0.21942054285626902,0.1512552305312947,0.15337621723190595,0.10030920614454635
34,Oklahoma,0.25759531484982967,0.1417968141948806,0.17252166073378838,0.22725597384982932,0.16957341888384506,0.1739465512445963,0.12327180751638232
35,Pennsylvania,0.24729807666390052,0.13928718551950192,0.13178240299076777,0.2274909273065352,0.1802587406120332,0.1640151353584022,0.10528461472251031
36,RhodeIsland,0.19098914263941263,0.10297849565724403,0.10482715330571431,0.16485539392603846,0.13291166394856133,0.15022606191783175,0.09794010926605859
37,SouthCarolina,0.22305163280703524,0.12260432523959784,0.12371237874582917,0.20336351714050266,0.1482506271907537,0.16789512858814065,0.11572060093326651
38,SouthDakota,0.27827365321869674,0.1618279774620727,0.15689387759487192,0.2593065604414531,0.19993484508205114,0.1615675647254274,0.11866320500309833
39,Tennessee,0.2623553315797754,0.14483786557898867,0.18862601203876408,0.2406764312101125,0.17284471042595503,0.17055824245393286,0.10967021598943806
40,Texas,0.24015599432815574,0.13900112445663435,0.1529837878895361,0.20788548707335472,0.1691680341550162,0.1608747386786404,0.12646160631887815
41,Utah,0.2641647893712681,0.1410266468466256,0.20529287636704552,0.24329453933962158,0.1721966838933539,0.14654529808036812,0.13078609256901833
42,Vermont,0.16288187697751497,0.08154979441908816,0.08709986882675337,0.14236620205651304,0.10842957425820644,0.12282794990851714,0.08484574185410815
43,Virginia,0.2058525955603499,0.10921738354055541,0.1257639276217592,0.18331216609395048,0.1339784131998046,0.15298599333467086,0.09874050837757205
44,Washington,0.1925885472727475,0.0972055510674083,0.10119296391167958,0.16840959404060057,0.11175022144204684,0.18820127650834254,0.07588109343626241
45,WashingtonDC,0.1934543234041026,0.10136799149579477,0.10531947206276913,0.17252669631425643,0.13193366355589742,0.14336525769435915,0.09339723653805139
46,WestVirginia,0.18061730126785708,0.09655209484071414,0.10116327544540828,0.16147395433306114,0.12889181972846936,0.13312053886428565,0.09539137928408158
47,Wisconsin,0.23218768339956286,0.1287299075382512,0.14844335810311468,0.20350652180830586,0.17093843987945367,0.14425636248196708,0.13182138596360657
48,Wyoming,0.21015351017007158,0.11546231146588357,0.11389820340745677,0.18911480440326847,0.1536690767749746,0.13940906921348298,0.09935051377599609
